# Automatically generated
# duptype id depth size device inode priority name
DUPTYPE_WITHIN_SAME_TREE -171 0 15160 2068 11053766 3 ./sun-java6.png
DUPTYPE_WITHIN_SAME_TREE -171 0 15160 2068 11048010 3 ./java.png
DUPTYPE_WITHIN_SAME_TREE -171 0 15160 2068 11051916 3 ./sun-java.png
DUPTYPE_WITHIN_SAME_TREE -171 0 15160 2068 11049008 3 ./openjdk-6.png
DUPTYPE_WITHIN_SAME_TREE -171 0 15160 2068 11051840 3 ./sun-javaws.png
DUPTYPE_FIRST_OCCURRENCE 402 0 15273 2068 11052859 3 ./folder-download.png
DUPTYPE_WITHIN_SAME_TREE -402 0 15273 2068 11047907 3 ./folder_download.png
DUPTYPE_WITHIN_SAME_TREE -402 0 15273 2068 11050958 3 ./folder-downloads.png
DUPTYPE_FIRST_OCCURRENCE 841 0 15332 2068 11048952 3 ./kfm.png
DUPTYPE_WITHIN_SAME_TREE -841 0 15332 2068 11047003 3 ./system-file-manager2.png
DUPTYPE_WITHIN_SAME_TREE -841 0 15332 2068 11049927 3 ./krusader_root.png
DUPTYPE_WITHIN_SAME_TREE -841 0 15332 2068 11049862 3 ./krusader_user.png
DUPTYPE_FIRST_OCCURRENCE 1360 0 15563 2068 11046999 3 ./system-switch-user.png
DUPTYPE_WITHIN_SAME_TREE -1360 0 15563 2068 11052889 3 ./xfsm-switch.png
DUPTYPE_FIRST_OCCURRENCE 620 0 15898 2068 11052006 3 ./gnome-mime-image-vnd.adobe.photoshop.png
DUPTYPE_WITHIN_SAME_TREE -620 0 15898 2068 11052938 3 ./gnome-mime-image-x-psd.png
DUPTYPE_WITHIN_SAME_TREE -620 0 15898 2068 11051844 3 ./image-x-psd.png
DUPTYPE_WITHIN_SAME_TREE -620 0 15898 2068 11053840 3 ./image-x-psdimage-x-psd.png
DUPTYPE_FIRST_OCCURRENCE 393 0 16120 2068 11051931 3 ./flickr.png
DUPTYPE_WITHIN_SAME_TREE -393 0 16120 2068 11049983 3 ./kflickr.png
DUPTYPE_FIRST_OCCURRENCE 130 0 16133 2068 11047895 3 ./application-x-perl.png
DUPTYPE_WITHIN_SAME_TREE -130 0 16133 2068 11050916 3 ./gnome-mime-text-x-sh.png
DUPTYPE_WITHIN_SAME_TREE -130 0 16133 2068 11048831 3 ./gnome-mime-application-x-shellscript.png
DUPTYPE_WITHIN_SAME_TREE -130 0 16133 2068 11048973 3 ./gnome-mime-text-x-csh.png
